Manufacturer,Manu #,Distributor,Dist #,Qty for 1 cube,Qty for 1 tower,Unit price,Price for 1 tower,Price for 6 towers,Description,Link,,,
Modular Cube,,,,,,,,,,,,,
Patrick J. Kelly Drums,,,,1,3,105,315,"1,890",IBC Totes,,,,
,,Amazon,,1,3,10,30,180,Reflection ball,http://www.amazon.com/gp/product/B0019ID32O?psc=1&redirect=true&ref_=oh_aui_detailpage_o00_s00,,,
,,,,1,1,3.18,3.18,19.08,Cube Tap,http://www.gordonelectricsupply.com/index~text~5654760~path~product~part~5654760~ds~dept~process~search?gclid=CjwKEAiAkb-zBRC2upezwuyguQ4SJADZG08vYHwL6VRaJSuKZ3-T56OLN09zu2G_Vr2yGNcJvnkXDRoCiHvw_wcB,,,
,,,,1,10,2.79,27.9,167.4,Male plug,http://www.homedepot.com/p/Leviton-15-Amp-125-Volt-Double-Pole-3-Wire-Grounding-Plug-Black-R50-3W101-00E/205165472,,,
,,,,1,10,5.37,53.7,322.2,Female plug,http://www.amazon.com/Pass-Seymour-SA993GRYCC10-125-volt-Connector/dp/B000BQL0XE/ref=pd_sim_60_8?ie=UTF8&dpID=415dP-GpdBL&dpSrc=sims&preST=_AC_UL160_SR160%2C160_&refRID=198KGA6VCB5MJP2EX9DH,,,
,,,,1,3,6,18,108,Plug box ,http://www.homedepot.com/p/Unbranded-Extension-Cord-Safety-Seal-Green-2-Pack-H-EXT-302/204485133?MERCH=REC-_-PIPHorizontal1_rr-_-204689460-_-204485133-_-N,,,
,,,,1,10,4.55,45.5,273,cable gland,http://www.amazon.com/gp/product/B00843UH4O/ref=pd_lpo_sbs_dp_ss_2?pf_rd_p=1944687722&pf_rd_s=lpo-top-stripe-1&pf_rd_t=201&pf_rd_i=B00841YGX4&pf_rd_m=ATVPDKIKX0DER&pf_rd_r=0D33FBDEPB30NT4X6N07,,,
Patrick J. Kelly,,shipping/tax,,1,3,25.19,75.57,453.42,300 frieght / 153 sales tax,,,,
,,,,,0,,0,0,,,,,
Bench,,,,,0,,0,0,,,,,
Home Depot - x,,,,,4,14.46,57.84,347.04,"2""x10""x12"" Douglas Fir",http://www.homedepot.com/p/2-in-x-10-in-x-12-ft-2-and-Better-Premium-Douglas-Fir-Board-603708/206182035,,,
Turner Steel - x,,,,,1,60.8,60.8,364.8,"11 Gauge 1""x3""x24'",,,,
Turner Steel - x,,,,,1,15.44,15.44,92.64,11 Gauge 4'x8' Sheet steel,,,,
Bolt Depot,,,,,0,,17.88,107.28,"Bolts 1/4-20 2""legnth 50 count ",https://www.boltdepot.com/Product-Details.aspx?product=4488,,,
Bolt Depot,,,,,0,,1.1,6.6,Nuts 1/4-20 100 count,https://www.boltdepot.com/Product-Details.aspx?product=2624,,,
Bolt Depot,,,,,0,,2.13,12.78,"Washers 1/4""       1000 count",https://www.boltdepot.com/Product-Details.aspx?product=2994,,,
McMaster,,,,,4,2.75,11,66,U-bolt,http://www.mcmaster.com/#3060t47/=10vq4xj,,,
,,,,,0,,0,0,"Bench ""Paint""",,,,
,,,,,0,,0,0,"Leg ""Paint""",,,,
Bench Prototype,,,,,0,,0,75.26,,,,,
Electronics,,,,,,,,,,,,,
Rascal Micro,RocketDMX PCB 1.1,Rascal Micro,RocketDMX PCB 1.1,1,1,9.69,9.69,58.14,PCB,,,,
PJRC,Teensy 3.2,PJRC,Teensy 3.2,1,1,19.8,19.8,118.8,Microcontroller,ordered!,,,
Maxim,MAX3072EESA+,Digikey,MAX3072EESA+-ND,1,1,3.57,3.57,21.42,RS-485 transceiver,ordered!,,,
Neutrik,NC3FAH1,Newark,46WX3053,1,1,1.43,1.43,8.58,3-pin DMX receptacle,,,,
Winbond,W25Q128FVSIG,Digikey,W25Q128FVSIG-ND,1,1,1.63,1.63,9.78,SPI flash memory,,,,
Molex,1971340001,Digikey,WM7391-ND,2,2,0.29,0.58,3.48,"Flag terminal, 6.35 mm",,,,
